========================================
Zaremba Density (GPU) — shard 4/8
Range: d = 1 to 100000000000
Digits: {1,2,3}
========================================

Generating prefixes (adaptive, cost_threshold=1e+08)...
Total prefixes: 50000000. Sorting by q descending...
Prefixes: 6250000 (shard 4/8, total 50000000)
Bitset: 12.50 GB
Work queue: 16777216 items (537 MB)

Launching 299008 persistent threads on 146/148 SMs (6250000 initial prefixes)...
  [    16s] prefixes: 189440/6250000 | queue: 1198629 pending (1198628 donated, 0 dequeued) | active: 299008
  [    32s] prefixes: 189440/6250000 | queue: 3480626 pending (3480626 donated, 0 dequeued) | active: 299008
  [    48s] prefixes: 189440/6250000 | queue: 5658789 pending (5658789 donated, 0 dequeued) | active: 299008
  [    64s] prefixes: 189440/6250000 | queue: 7782150 pending (7782150 donated, 0 dequeued) | active: 299008
  [    80s] prefixes: 189440/6250000 | queue: 9881201 pending (9881201 donated, 0 dequeued) | active: 299008
  [    96s] prefixes: 189440/6250000 | queue: 11957315 pending (11957312 donated, 0 dequeued) | active: 299008
  [   112s] prefixes: 189440/6250000 | queue: 14010086 pending (14010084 donated, 0 dequeued) | active: 299008
  [   128s] prefixes: 189440/6250000 | queue: 16055414 pending (16055413 donated, 0 dequeued) | active: 299008
  [   144s] prefixes: 189440/6250000 | queue: 16777214 pending (16777214 donated, 0 dequeued) | active: 299008
  [   160s] prefixes: 189440/6250000 | queue: 16777214 pending (16777214 donated, 0 dequeued) | active: 299008
  [   176s] prefixes: 189440/6250000 | queue: 16777214 pending (16777214 donated, 0 dequeued) | active: 299008
  [   192s] prefixes: 189440/6250000 | queue: 16777214 pending (16777214 donated, 0 dequeued) | active: 299008
  [   208s] prefixes: 189440/6250000 | queue: 16777214 pending (16777214 donated, 0 dequeued) | active: 299008
